,reward,test_name,model
159,"(0.4387, 1.3985)",treeadd,dropkeep
160,"(4.2578, 8.6962)",InductionVariable-flt,dropkeep
161,"(1.7626, 0.0621)",network-patricia,dropkeep
162,"(7.242, 0.058)",gs,dropkeep
163,"(4.0685, 11.9477)",Packing-flt,dropkeep
164,"(6.4824, 1.1752)",miniAMR,dropkeep
165,"(4.3349, 2.1135)",Expansion-flt,dropkeep
166,"(2.2543, 0.1181)",distray,dropkeep
167,"(5.7993, 9.8174)",ControlFlow-flt,dropkeep
168,"(1.1985, 0.3447)",perimeter,dropkeep
169,"(4.229, 6.2579)",InductionVariable-dbl,dropkeep
170,"(0.8769, 0.6498)",bisort,dropkeep
171,"(1.0024, 0.104)",bisect,dropkeep
172,"(1.3116, 0.7475)",drop3,dropkeep
173,"(6.5678, 2.9513)",PathFinder,dropkeep
174,"(6.4441, 3.202)",SimpleMOC,dropkeep
175,"(1.1817, 0.0503)",qbsort,dropkeep
176,"(3.9837, 1.5629)",ecbdes,dropkeep
177,"(0.78, 3.18)",llu,dropkeep
178,,,dropkeep
179,,,dropkeep
180,"(29.3723, 14.9063)",halide_blur,dropkeep
181,"(3.8747, 4.1805)",Recurrences-flt,dropkeep
182,"(6.9478, 0.0467)",gnugo,dropkeep
183,"(4.1498, 13.4138)",Searching-dbl,dropkeep
184,"(3.9378, 4.7417)",StatementReordering-flt,dropkeep
185,"(3.9924, 4.585)",CrossingThresholds-flt,dropkeep
186,"(0.6633, 0.0549)",network-dijkstra,dropkeep
187,"(0.4003, 1.4819)",treeadd,dropkeep
188,"(1.1017, 6.0682)",is,dropkeep
189,"(0.8094, 3.2669)",bmm,dropkeep
190,"(5.3611, 11.2782)",ControlFlow-flt,dropkeep
191,"(2.5113, 0.1161)",distray,dropkeep
192,"(2.6523, 1.0429)",ft,dropkeep
193,"(2.6477, 0.1447)",pcompress2,dropkeep
194,"(4.3052, 4.7481)",StatementReordering-dbl,dropkeep
195,"(0.7473, 0.0641)",network-dijkstra,dropkeep
196,"(2.8549, 0.7531)",power,dropkeep
197,"(12.0341, 14.6997)",tramp3d-v4,dropkeep
198,"(4.5451, 5.2312)",LinearDependence-dbl,dropkeep
199,"(1.0834, 0.8461)",enc-pc1,dropkeep
200,"(3.9728, 3.9587)",NodeSplitting-dbl,dropkeep
201,"(0.6093, 2.7284)",bmm,dropkeep
202,"(3.8197, 4.267)",Recurrences-flt,dropkeep
203,"(1.0823, 1.2921)",life,dropkeep
204,"(3.6298, 11.9854)",Searching-dbl,dropkeep
205,"(1.6434, 0.0401)",telecomm-fft,dropkeep
206,"(2.3462, 1.0109)",power,dropkeep
207,"(11.4851, 14.8116)",tramp3d-v4,dropkeep
208,"(2.6361, 1.2409)",power,dropkeep
209,"(4.6695, 4.4028)",LoopRestructuring-dbl,dropkeep
210,"(3.0436, 71.4202)",scimark2,dropkeep
211,"(6.6041, 1.0259)",enc-3des,dropkeep
212,"(3.0123, 0.9181)",fourinarow,dropkeep
213,"(6.7308, 9.2716)",InductionVariable-dbl,dropkeep
214,"(1.2906, 0.0357)",security-sha,dropkeep
215,"(4.0311, 4.974)",StatementReordering-flt,dropkeep
216,"(7.4704, 0.5835)",espresso,dropkeep
217,"(4.5182, 3.3344)",GlobalDataFlow-flt,dropkeep
218,"(5.0617, 3.3593)",Reductions-dbl,dropkeep
219,"(3.7682, 4.6844)",StatementReordering-dbl,dropkeep
220,"(0.9827, 0.1023)",bisect,dropkeep
221,"(1.0516, 0.3548)",perimeter,dropkeep
222,"(6.5981, 0.0472)",security-rijndael,dropkeep
223,"(7.303, 7.2223)",miniFE,dropkeep
224,"(6.0256, 7.0895)",IndirectAddressing-dbl,dropkeep
225,"(4.4176, 0.4317)",rsbench,dropkeep
226,"(5.7942, 4.7557)",StatementReordering-dbl,dropkeep
227,"(0.7324, 1.7107)",five11,dropkeep
228,"(6.1121, 1.8786)",HPCCG,dropkeep
229,"(6.5915, 3.1312)",SimpleMOC,dropkeep
230,"(1.4235, 0.0782)",mst,dropkeep
231,"(2.8042, 1.0792)",ft,dropkeep
232,"(0.5599, 2.9754)",bmm,dropkeep
233,"(29.3723, 14.8253)",halide_blur,dropkeep
234,"(6.9779, 9.572)",miniFE,dropkeep
235,"(4.7165, 4.8504)",LoopRestructuring-dbl,dropkeep
236,"(3.4226, 1.0522)",srad,dropkeep
237,"(0.6297, 0.0587)",network-dijkstra,dropkeep
238,"(1.8276, 0.117)",mst,dropkeep
239,"(1.5381, 0.0311)",telecomm-fft,dropkeep
240,"(0.7362, 3.7825)",llu,dropkeep
241,"(0.8981, 0.9034)",pathfinder,dropkeep
242,"(0.7833, 0.0787)",bintr,dropkeep
243,"(2.4356, 0.0401)",ocean,dropkeep
244,"(1.2197, 0.3212)",perimeter,dropkeep
245,"(5.7755, 11.7046)",AMGmk,dropkeep
246,"(2.9575, 0.9882)",power,dropkeep
247,"(7.2762, 0.058)",gs,dropkeep
248,"(11.275, 14.5656)",tramp3d-v4,dropkeep
249,"(4.587, 7.1268)",InductionVariable-flt,dropkeep
250,"(4.0469, 0.4592)",rsbench,dropkeep
251,"(2.2521, 2.3355)",IRSmk,dropkeep
252,"(6.9439, 0.0376)",security-rijndael,dropkeep
253,"(0.854, 0.3287)",iotest,dropkeep
254,"(3.9975, 14.408)",Packing-dbl,dropkeep
255,"(5.6482, 0.1158)",vor,dropkeep
256,"(0.7816, 7.562)",8b10b,dropkeep
257,"(4.639, 4.1868)",GlobalDataFlow-dbl,dropkeep
258,"(3.6271, 1.7221)",ecbdes,dropkeep
259,"(6.6659, 4.6575)",nbench,dropkeep
260,"(0.9524, 0.7302)",bisort,dropkeep
261,"(0.8018, 0.3369)",iotest,dropkeep
262,"(3.7457, 12.0794)",Searching-flt,dropkeep
263,"(3.579, 0.855)",fourinarow,dropkeep
264,"(6.648, 4.8636)",LoopRestructuring-dbl,dropkeep
265,"(1.9121, 7.22)",CrystalMk,dropkeep
266,"(7.1107, 8.1772)",miniFE,dropkeep
267,"(1.2274, 0.7166)",bisort,dropkeep
268,"(0.6391, 1.3138)",enc-rc4,dropkeep
269,"(3.826, 4.7826)",StatementReordering-dbl,dropkeep
270,"(5.588, 11.6932)",AMGmk,dropkeep
271,"(2.9948, 0.0449)",ocean,dropkeep
272,"(1.4184, 0.9287)",tsp,dropkeep
273,"(6.1214, 7.9967)",IndirectAddressing-dbl,dropkeep
274,"(1.9943, 1.3558)",fhourstones3.1,dropkeep
275,"(2.0937, 2.3112)",IRSmk,dropkeep
276,"(3.1777, 2.5242)",XSBench,dropkeep
277,"(6.7175, 3.3941)",CoMD,dropkeep
278,"(0.9977, 0.6677)",drop3,dropkeep
279,"(4.8869, 4.2834)",Recurrences-flt,dropkeep
280,"(2.5025, 0.2527)",neural,dropkeep
281,"(0.5812, 0.6165)",netbench-crc,dropkeep
282,"(6.4958, 4.9852)",CoMD,dropkeep
283,"(0.9051, 0.6757)",bisort,dropkeep
284,"(4.0996, 3.7264)",Equivalencing-dbl,dropkeep
285,"(4.5426, 7.8356)",IndirectAddressing-dbl,dropkeep
286,"(2.4144, 0.1013)",distray,dropkeep
287,"(5.5909, 13.0266)",AMGmk,dropkeep
288,"(1.5823, 0.0675)",network-patricia,dropkeep
289,"(5.5251, 10.8012)",ControlFlow-dbl,dropkeep
290,"(5.6924, 4.1183)",LinearDependence-dbl,dropkeep
291,"(4.596, 4.3616)",Expansion-dbl,dropkeep
292,"(2.4566, 2.3219)",IRSmk,dropkeep
293,"(3.9722, 4.8723)",NodeSplitting-dbl,dropkeep
294,"(4.29, 4.1692)",Recurrences-dbl,dropkeep
295,"(2.8632, 0.8157)",fourinarow,dropkeep
296,"(8.2261, 45.5466)",pairlocalalign,dropkeep
297,"(0.8984, 0.3381)",iotest,dropkeep
298,"(1.5077, 0.2107)",health,dropkeep
299,"(1.2191, 5.9029)",is,dropkeep
