,reward,test_name,model
244,"(0.2731, 0.2739)",health,random45
245,"(0.2664, 0.2568)",telecomm-adpcm,random45
246,"(0.3018, 0.1731)",voronoi,random45
247,"(0.2693, 0.863)",netbench-crc,random45
248,"(0.2683, 0.8815)",fourinarow,random45
249,"(0.3817, 3.0435)",PathFinder,random45
250,"(0.3116, 0.0296)",ocean,random45
251,"(0.3189, 0.0706)",analyzer,random45
252,"(0.3291, 5.8993)",CrossingThresholds-flt,random45
253,"(0.2417, 0.2244)",hotspot,random45
254,"(0.2773, 7.837)",CrystalMk,random45
255,"(0.3202, 0.0921)",gnugo,random45
256,"(0.3161, 0.9443)",ft,random45
257,"(0.306, 6.6669)",LoopRerolling-dbl,random45
258,"(0.2847, 8.6813)",CrystalMk,random45
259,"(0.2103, 1.683)",five11,random45
260,"(0.4901, 4.6193)",nbench,random45
261,"(0.2735, 0.0485)",security-sha,random45
262,"(0.2721, 0.1368)",pcompress2,random45
263,"(0.2777, 0.8142)",ft,random45
264,"(0.2642, 0.4359)",drop3,random45
265,"(0.3065, 0.3385)",perimeter,random45
266,"(0.3136, 1.1341)",srad,random45
267,"(0.4723, 1.0096)",enc-3des,random45
268,"(0.3015, 2.5345)",XSBench,random45
269,"(0.5441, 1.3182)",miniAMR,random45
270,"(0.3376, 3.3825)",LoopRestructuring-flt,random45
271,"(0.3036, 0.1028)",bisect,random45
272,"(0.58, 1.2125)",HPCCG,random45
273,"(0.2985, 0.0521)",analyzer,random45
274,"(0.3547, 0.7523)",bisort,random45
275,"(0.3648, 6.4041)",Searching-flt,random45
276,"(1.7018, 45.1227)",pairlocalalign,random45
277,"(0.4771, 13.5284)",Packing-dbl,random45
278,"(0.2574, 4.9395)",Recurrences-flt,random45
279,"(0.4691, 5.76)",LoopRestructuring-dbl,random45
280,"(0.3478, 6.6228)",CrossingThresholds-flt,random45
281,"(0.3372, 6.8046)",CrossingThresholds-dbl,random45
282,"(0.3006, 0.2471)",telecomm-adpcm,random45
283,"(0.3223, 0.2319)",telecomm-adpcm,random45
284,"(0.3014, 87.4811)",scimark2,random45
285,"(0.4104, 9.2079)",ControlFlow-flt,random45
286,"(0.2694, 1.9485)",five11,random45
